,Time,OGZPY,XOM,PTR,RDS-A,BP,CVX,TOT,EQNR,COP,E
0,2020-09-18 03:56:00,4.7600,,,,,,,,,
0,2020-09-18 03:59:00,,37.19,,,,,,,,
0,2020-09-18 03:59:00,,,32.29,,,,,,,
0,2020-09-18 03:59:00,,,,26.98,,,,,,
0,2020-09-18 03:59:00,,,,,18.88,,,,,
0,2020-09-18 03:59:00,,,,,,78.24,,,,
0,2020-09-18 03:59:00,,,,,,,36.66,,,
0,2020-09-18 03:59:00,,,,,,,,15.72,,
0,2020-09-18 03:59:00,,,,,,,,,35.86,
0,2020-09-18 03:59:00,,,,,,,,,,17.39
0,2020-09-18 03:56:00,4.7600,,,,,,,,,
0,2020-09-18 03:59:00,,37.19,,,,,,,,
0,2020-09-18 03:59:00,,,32.29,,,,,,,
0,2020-09-18 03:59:00,,,,26.98,,,,,,
0,2020-09-18 03:59:00,,,,,18.88,,,,,
0,2020-09-18 03:59:00,,,,,,78.24,,,,
0,2020-09-18 03:59:00,,,,,,,36.66,,,
0,2020-09-18 03:59:00,,,,,,,,15.72,,
0,2020-09-18 03:59:00,,,,,,,,,35.86,
0,2020-09-18 03:59:00,,,,,,,,,,17.39
